Genotype,D,H,I,T4,T5,T6
BE10_19_D_GS,0.56673100369384,-532.126215043766,-109.711666522595,0.114765211217213,-0.300156452686643,0.920502135224218
BE10_22_B_GS,-0.784853883982509,486.606003994707,56.1620616056565,-0.622498364612771,0.794001597820516,-0.713284058793848
BE10_6_A_GS,0.120710671528602,259.216660224541,52.6532050510142,1.36071742335174,-1.23182513075037,1.95531001509258
BE2_1_C_YA,-1.44079807929781,-480.586644158939,-71.5974827720796,3.75085062744242,2.96105599592498,1.4045473079644
BE2_11_B_YA,-0.288753014113686,-723.140375745448,-111.620651762939,0.0825324743599055,0.637928553092651,-0.229184044859822
BE2_15_D_GS,-2.1374807629152,-162.126215043795,7.33766523529164,1.98962876409283,0.456319287140987,-1.26264231610193
BE2_26_A_GS,-4.76767213734158,-710.783339775384,-53.9452935142042,-1.29533927655538,-4.25772809006089,-7.86884001587512
BE2_3_C_GS,-1.38752024692733,159.69098293698,36.032298722781,-0.125508227259819,-3.27557670603934,-2.1738583847506
BE2_30_D_YA,-1.49040749783183,-1243.72526200016,-165.731301622633,2.41098175942506,0.366001060227017,-0.0544351153915124
BE3_10_C_GS,0.0685937812467689,-160.309017062995,-26.6727004332298,-4.50018985063624,-4.1833475938325,-4.35700283607676
BE3_20_C_YA,0.483352600789396,669.413355840971,86.4218023798073,-1.87374003118443,-0.97261785117869,-1.09047492212263
BE3_22_B_GS,0.295353056791103,-373.393996005226,-38.5921593412044,3.75218325876366,1.8530676335792,2.77776542108635
BE3_27_D_YA,2.2018816450382,786.27473799968,114.688167519855,-5.08847245207741,-2.50860675111797,-1.76976289857635
BE3_29_D_GS,-0.681366734741101,-322.126215043782,-51.1870006436519,4.02073094637475,2.8770416545894,2.79176880778949
BE4_10_A_GS,1.8756954793097,,-147.613478804347,2.37286442044901,6.37843351979257,3.28345030268873
BE4_20_B_YA,1.06335286919083,-363.140375745476,-9.13478342160244,-2.88600148435982,-2.69056470214892,-1.16481738114245
BE4_23_C_YA,1.21140961487645,-980.5866441589,-142.835685094652,-2.96741043702854,-2.1829790349029,-1.09047492212263
BE4_27_D_YA,1.265808341212,66.2747379997362,1.35466382485404,-2.11993849335769,-0.390474679600607,-0.210374004771958
BE4_6_D_GS,2.02284503186794,37.8737849561899,43.5672203032092,-0.978905194626902,-1.66181278437637,2.01207436088729
BE5_1_A_YA,0.992227131223152,420.72835580857,44.850220461594,-2.12172370791696,-1.4401909335419,-0.623266389418331
BE5_19_C_YA,-2.22085916581964,579.413355840978,71.2027318836215,4.53204377447392,2.65846569999393,1.24860841858396
BE5_2_A_GS,1.26480026509397,629.216660224512,77.7352047134185,-0.514146129523877,0.886306940766999,1.95531001509258
BE5_27_B_YA,-2.35809624853048,496.859624254457,62.265323906248,5.39464587417417,3.36124121647212,1.96146265795956
BE5_5_B_GS,0.956369726601075,46.6060039947411,-0.969159847597866,-2.49736191748839,-2.38319650945553,-0.159039037603464
BE5_9_C_GS,2.40720802257361,249.690982936973,16.5240767631332,-0.125508227259817,3.23011465647828,3.44105221423664
BE7_12_B_YA,0.803332507016883,236.859624254477,30.3700378663693,-1.47985381970311,-0.875022926562608,-0.229184044859823
BE7_20_D_YA,-1.43840342539704,386.274737999712,40.8594851128257,2.25474313001876,1.27377194802018,0.101503773988921
BE7_26_D_GS,-0.161326010393209,307.873784956169,34.4911617171434,-2.07257560047101,-0.602746748617692,-2.35421454176501
BE7_29_A_GS,1.99285727918101,29.2166602245587,30.3580942399881,-1.60781653536799,-0.172759094991684,1.95531001509258
BE7_5_C_GS,-2.84363427510143,329.690982936967,41.6060764255376,4.24917339611661,2.77622921258169,0.00928606657554557
BE7_6_C_YA,-0.504724775471601,519.413355840983,67.9646317780501,-0.467592366527721,-1.27520814710975,-1.24641381150307
BE8_15_C_GS,1.52470780942087,-180.309017062993,-16.9185894534059,0.65568491977169,1.71716317682301,2.97212496480389
BE8_19_C_YA,0.587360745658975,429.41335584099,55.6598513768786,0.00112352169118312,0.994219072373146,0.936730639823084
BE8_22_D_GS,-0.889383024480259,497.873784956154,78.4033309454371,-2.07257560047101,-2.56958367216953,-3.44578676742809
BE8_4_B_YA,0.543312144842937,256.859624254476,28.4271778030264,-1.01113793148421,-0.42113748266603,-0.0732451554793816
BE8_5_B_GS,-0.389672045104513,-103.393996005247,-16.2970485301783,-0.622498364612771,-0.265064437938156,-1.26975822778787
BE9_12_D_YA,-0.502330121570836,266.27473799972,8.80229406766848,2.56722038883136,1.27377194802018,1.81683155717376
BE9_15_C_GS,0.58863450559466,-310.309017062983,-50.3612556699451,-0.125508227259816,-0.249673746728829,0.788980513477742
BE9_21_C_YA,1.8874625565287,-450.586644158941,-66.7403326137224,-2.96741043702854,-2.1829790349029,-0.154841585839993
BE9_29_D_GS,1.08677172804173,87.8737849561857,3.8540541710688,-0.978905194626896,1.81797561883072,0.60862435646334
BE9_30_A_YA,-0.983927621298837,-399.271644191366,-44.3594374468993,2.09671928605317,1.43441687780311,0.624244725625185
GA1_12_D_YA,-2.13369122950529,826.276317926737,91.8882353351581,4.66032063410413,3.34566553380801,1.11711448272964
GA1_23_A_YA,-1.34510690334255,358.799405154824,58.829662414077,1.48703501537942,0.1924697246918,-0.228422231387663
GA1_26_D_GS,0.110730360922938,-83.3726744005509,12.8194169765243,1.92806166436574,1.46404809910685,2.13661616794015
GA1_3_C_GS,0.142954826073444,-94.5371738443497,-0.953432176722012,2.61769928560966,1.72544210088418,2.89377485704583
GA1_6_A_GS,-0.222865431149095,283.956981835469,44.8088610600633,1.09249755856368,-1.73852531752235,0.494334628137405
GA10_1_D_YA,-0.677577201331193,-373.72368207317,-60.6262796372572,0.285639010727717,-1.49577920108883,-1.06602996859651
GA10_15_A_GS,1.02523230728584,-1386.0430181644,-157.654199737772,1.24873618796998,2.19514852958131,2.67747907946356
GA10_20_B_YA,1.30569835231684,-333.820942281598,-57.3416708738846,-2.8284313609539,-1.5166389904175,-0.379066716113698
GA10_22_D_GS,2.22679193057375,56.6273255994387,14.2128614022135,0.0531981114901247,2.82570443079658,4.15210149093561
GA10_27_C_YA,2.53858987134073,58.4503849375689,6.09944603500666,-5.11116424858106,-2.27082029987482,-1.41622405750293
GA3_15_A_YA,0.0590030523967665,-121.200594845138,-20.8276001829805,0.0808873507227185,-0.412710867170307,0.707211104894972
GA3_18_B_YA,-0.462440110466,426.179057718343,50.8108726522015,0.921295744797324,1.20667367296197,0.7125055095494
GA3_22_B_GS,0.88202019666322,190.7621333723,31.0937348984528,1.94168986310103,2.10238194296271,3.02275199445823
GA3_27_C_YA,-0.32163411257267,298.45038493755,37.1852070484926,1.138380927671,0.452492363504657,0.45504261506235
GA3_29_D_GS,-1.86542439159905,-83.3726744005509,-10.8691382601909,2.55301618199094,2.52311413486553,-0.0465282833860185
GA5_19_A_YA,2.08716187735354,68.7994051548469,29.8486664692126,-3.98131701384111,-0.412710867170307,-0.384361120768105
GA5_2_C_GS,-3.18530580975306,385.462826155613,17.1613453572368,0.899074362140345,-0.392689970633185,-3.65565849693263
GA5_23_C_YA,0.562435118818744,388.450384937543,52.7280875552355,2.23205133351511,1.51155839926333,2.95006484514938
GA5_30_B_YA,0.785657627968947,-973.820942281548,-137.484648486778,0.921295744797326,2.26573970872065,2.58377218211467
GA5_6_D_GS,-2.38546511594694,-813.372674400494,-107.016803632741,1.14686851733423,-0.956674268341566,-2.22967273471217
GA5_9_B_GS,-0.262069396902143,360.762133372287,19.2494572800951,4.44150793360185,5.58217034616981,3.80244644136043
GA6_15_A_GS,-0.430881720888253,193.956981835476,16.9399725462807,2.3424065938141,1.28737764178815,1.58590685380048
GA6_25_B_YA,-1.71053784890094,736.179057718319,107.315719494423,2.01496615064143,-0.306277806693293,-0.0671889373528079
GA6_27_C_YA,-2.24578479265987,58.4503849375689,-24.0148849468079,6.91921021570415,4.38616621060833,3.26194262391026
GA6_3_B_GS,-0.0540531071629871,-299.237866627662,-44.1522640887603,0.0668263102254165,-0.772225868382282,-0.251964682530994
GA6_5_D_GS,-1.13736737751199,-253.372674400547,-23.410138091393,-1.82166544138549,-1.41055971223815,-3.32124496037524
GA7_10_B_YA,-1.71053784890094,736.179057718319,95.9823691249233,2.01496615064143,0.752788229065391,-0.0671889373528051
GA7_15_B_GS,2.02610979022857,420.762133372282,68.7167343920592,-3.99537805433842,-4.25201427158938,-1.34353690819406
GA7_2_C_GS,1.53315583192041,405.462826155611,42.9400672324856,1.52402887976555,2.02803239681523,4.24997659734781
GA7_20_A_YA,-0.0450050924728125,518.799405154812,28.3915214217054,0.0808873507227128,1.55412605638152,0.551272215514535
GA7_23_C_YA,0.354418829079588,-121.549615062417,-36.3196653479794,-1.83015303104873,-0.455278524288506,-1.41622405750293
GA7_26_D_GS,1.73296894932928,876.627325599374,102.696582433473,-0.727995035541382,-1.86444515613473,2.06398082058091
GA8_15_C_GS,1.18303627476923,635.462826155593,58.267955915066,1.68026750917185,0.666376065125497,3.67346930394802
GA8_20_A_YA,1.56712115300565,-481.20059484511,-71.0181518193381,-2.2626920903718,-0.412710867170307,0.395333326134098
GA8_23_D_YA,0.414508319799382,-53.7236820731949,-18.5309782648283,3.09793434004112,3.34566553380801,3.3002589340558
GA8_29_D_GS,0.339990060862408,-23.3726744005653,-9.47569383450182,1.14686851733423,0.70757235927922,2.06398082058091
GA9_1_D_YA,1.7666142031039,-73.723682073193,-17.883358243714,-3.30784946561722,-2.40355008888198,-1.06602996859651
GA9_11_A_YA,-0.721058034125075,488.799405154814,69.5153927624632,-0.23158990808989,-1.62307205089453,-0.852177788909423
