Genotype,Envir,Latitude,Longitude,D,Lat,Lon,D_spats_residuals,D_spats_geno_pred_values,D_spats_adj_pheno
BE7_26_D_GS,GS_2019_D,57.63,-5.35,21,57.63,-5.35,-0.997188598306348,21.2589345749653,20.261745976659
BE8_22_D_GS,GS_2019_D,57.63,-5.35,21,57.63,-5.35,-0.997188598306348,21.2589345749653,20.261745976659
BE9_29_D_GS,GS_2019_D,57.63,-5.35,28,57.63,-5.35,2.50281140169361,24.7589345749653,27.261745976659
GA1_26_D_GS,GS_2019_D,57.27,-4.92,28,57.27,-4.92,2.5427057531392,24.7988289264109,27.3415346795501
GA10_22_D_GS,GS_2019_D,57.27,-4.92,21,57.27,-4.92,-0.957294246860762,21.2988289264109,20.3415346795501
GA3_29_D_GS,GS_2019_D,57.27,-4.92,21,57.27,-4.92,-0.957294246860762,21.2988289264109,20.3415346795501
GA5_6_D_GS,GS_2019_D,57.27,-4.92,28,57.27,-4.92,2.5427057531392,24.7988289264109,27.3415346795501
GA6_5_D_GS,GS_2019_D,57.27,-4.92,14,57.27,-4.92,-4.45729424686072,17.7988289264108,13.3415346795501
GA7_26_D_GS,GS_2019_D,57.27,-4.92,28,57.27,-4.92,2.5427057531392,24.7988289264109,27.3415346795501
GA8_29_D_GS,GS_2019_D,57.27,-4.92,28,57.27,-4.92,2.5427057531392,24.7988289264109,27.3415346795501
GL3_26_D_GS,GS_2019_D,56.91,-5.13,21,56.91,-5.13,-1.13735927587508,21.1187638973965,19.9814046215214
GL4_3_D_GS,GS_2019_D,56.91,-5.13,28,56.91,-5.13,2.36264072412488,24.6187638973966,26.9814046215214
GL6_15_D_GS,GS_2019_D,56.91,-5.13,21,56.91,-5.13,-1.13735927587508,21.1187638973965,19.9814046215214
GL7_15_D_GS,GS_2019_D,56.91,-5.13,21,56.91,-5.13,-1.13735927587508,21.1187638973965,19.9814046215214
GL8_15_D_GS,GS_2019_D,56.91,-5.13,21,56.91,-5.13,-1.13735927587508,21.1187638973965,19.9814046215214
GT2_26_D_GS,GS_2019_D,57.05,-2.86,14,57.05,-2.86,-3.58626955076107,18.6698536225105,15.0835840717495
GT6_29_D_GS,GS_2019_D,57.05,-2.86,28,57.05,-2.86,3.41373044923885,25.6698536225106,29.0835840717495
GT8_22_D_GS,GS_2019_D,57.05,-2.86,21,57.05,-2.86,-0.0862695507611093,22.1698536225106,22.0835840717495
RD10_10_D_GS,GS_2019_D,57.89,-4.98,21,57.89,-4.98,-0.812169175362065,21.4439539979096,20.6317848225476
RD2_9_D_GS,GS_2019_D,57.89,-4.98,21,57.89,-4.98,-0.812169175362065,21.4439539979096,20.6317848225476
RD3_2_D_GS,GS_2019_D,57.89,-4.98,21,57.89,-4.98,-0.812169175362065,21.4439539979096,20.6317848225476
RD5_6_D_GS,GS_2019_D,57.89,-4.98,21,57.89,-4.98,-0.812169175362065,21.4439539979096,20.6317848225476
RD8_22_D_GS,GS_2019_D,57.89,-4.98,21,57.89,-4.98,-0.812169175362065,21.4439539979096,20.6317848225476
RD9_6_D_GS,GS_2019_D,57.89,-4.98,28,57.89,-4.98,2.6878308246379,24.9439539979097,27.6317848225476
BE10_22_B_GS,GS_2015_B,57.63,-5.35,25,57.63,-5.35,-0.998962725293168,19.7771575553753,18.7781948300821
BE5_5_B_GS,GS_2015_B,57.63,-5.35,28,57.63,-5.35,0.501037274706835,21.2771575553753,21.7781948300821
BE8_5_B_GS,GS_2015_B,57.63,-5.35,28,57.63,-5.35,0.501037274706835,21.2771575553753,21.7781948300821
GA3_22_B_GS,GS_2015_B,57.27,-4.92,21,57.27,-4.92,-1.97986029474036,18.7962599859281,16.8163996911877
GA5_9_B_GS,GS_2015_B,57.27,-4.92,21,57.27,-4.92,-1.97986029474036,18.7962599859281,16.8163996911877
GA6_3_B_GS,GS_2015_B,57.27,-4.92,28,57.27,-4.92,1.52013970525964,22.2962599859281,23.8163996911877
GA7_15_B_GS,GS_2015_B,57.27,-4.92,28,57.27,-4.92,1.52013970525964,22.2962599859281,23.8163996911877
GA9_29_B_GS,GS_2015_B,57.27,-4.92,28,57.27,-4.92,1.52013970525964,22.2962599859281,23.8163996911877
GL1_22_B_GS,GS_2015_B,56.91,-5.13,28,56.91,-5.13,1.05140598268961,21.827526263358,22.8789322460476
GL2_15_B_GS,GS_2015_B,56.91,-5.13,21,56.91,-5.13,-2.4485940173104,18.3275262633581,15.8789322460476
GL3_10_B_GS,GS_2015_B,56.91,-5.13,28,56.91,-5.13,1.05140598268961,21.827526263358,22.8789322460476
GT1_6_B_GS,GS_2015_B,57.05,-2.86,21,57.05,-2.86,-0.942615438941381,19.833504841727,18.8908894027857
GT2_2_B_GS,GS_2015_B,57.05,-2.86,28,57.05,-2.86,2.55738456105863,23.333504841727,25.8908894027857
GT3_2_B_GS,GS_2015_B,57.05,-2.86,21,57.05,-2.86,-0.942615438941381,19.833504841727,18.8908894027857
GT5_2_B_GS,GS_2015_B,57.05,-2.86,28,57.05,-2.86,2.55738456105863,23.333504841727,25.8908894027857
GT6_10_B_GS,GS_2015_B,57.05,-2.86,21,57.05,-2.86,-0.942615438941381,19.833504841727,18.8908894027857
GT7_22_B_GS,GS_2015_B,57.05,-2.86,21,57.05,-2.86,-0.942615438941381,19.833504841727,18.8908894027857
GT8_5_B_GS,GS_2015_B,57.05,-2.86,15,57.05,-2.86,-3.94261543894139,16.8335048417271,12.8908894027857
GT9_15_B_GS,GS_2015_B,57.05,-2.86,28,57.05,-2.86,2.55738456105863,23.333504841727,25.8908894027857
RD10_22_B_GS,GS_2015_B,57.89,-4.98,28,57.89,-4.98,2.05657904260691,22.8326993232753,24.8892783658822
RD3_26_B_GS,GS_2015_B,57.89,-4.98,28,57.89,-4.98,2.05657904260691,22.8326993232753,24.8892783658822
RD7_15_B_GS,GS_2015_B,57.89,-4.98,21,57.89,-4.98,-1.4434209573931,19.3326993232753,17.8892783658822
RD8_29_B_GS,GS_2015_B,57.89,-4.98,21,57.89,-4.98,-1.4434209573931,19.3326993232753,17.8892783658822
RD9_5_B_GS,GS_2015_B,57.89,-4.98,21,57.89,-4.98,-1.4434209573931,19.3326993232753,17.8892783658822
BE8_5_B_GS,GS_2016_B,57.63,-5.35,26,57.63,-5.35,0.0211573814451391,33.4259677973492,33.4471251787943
GA3_22_B_GS,GS_2016_B,57.27,-4.92,28,57.27,-4.92,0.0168333012129018,33.421643717117,33.4384770183299
GA5_9_B_GS,GS_2016_B,57.27,-4.92,33,57.27,-4.92,2.51683330121282,35.9216437171171,38.4384770183299
GA6_3_B_GS,GS_2016_B,57.27,-4.92,28,57.27,-4.92,0.0168333012129018,33.421643717117,33.4384770183299
GA7_15_B_GS,GS_2016_B,57.27,-4.92,33,57.27,-4.92,2.51683330121282,35.9216437171171,38.4384770183299
GA9_29_B_GS,GS_2016_B,57.27,-4.92,26,57.27,-4.92,-0.983166698787063,32.4216437171169,31.4384770183299
GL1_22_B_GS,GS_2016_B,56.91,-5.13,21,56.91,-5.13,-2.28366069559912,31.1211497203048,28.8374890247056
GL2_15_B_GS,GS_2016_B,56.91,-5.13,21,56.91,-5.13,-2.28366069559912,31.1211497203048,28.8374890247056
