Genotype,Envir,Latitude,Longitude,T5,Lat,Lon,T5_spats_residuals,T5_spats_geno_pred_values,T5_spats_adj_pheno
BE10_6_A_GS,GS_2015_A,57.63,-5.35,28,57.63,-5.35,0.0989139207670036,17.7813182270071,17.8802321477742
BE2_26_A_GS,GS_2015_A,57.63,-5.35,20,57.63,-5.35,-3.90108607923295,13.7813182270071,9.88023214777416
BE4_10_A_GS,GS_2015_A,57.63,-5.35,35,57.63,-5.35,3.59891392076697,21.2813182270072,24.8802321477742
BE5_2_A_GS,GS_2015_A,57.63,-5.35,28,57.63,-5.35,0.0989139207670036,17.7813182270071,17.8802321477742
BE7_29_A_GS,GS_2015_A,57.63,-5.35,28,57.63,-5.35,0.0989139207670036,17.7813182270071,17.8802321477742
GA1_6_A_GS,GS_2015_A,57.27,-4.92,20,57.27,-4.92,-2.26206742764266,15.4203368785974,13.1582694509548
GA10_15_A_GS,GS_2015_A,57.27,-4.92,20,57.27,-4.92,-2.26206742764266,15.4203368785974,13.1582694509548
GA6_15_A_GS,GS_2015_A,57.27,-4.92,28,57.27,-4.92,1.73793257235729,19.4203368785975,21.1582694509548
GA9_6_A_GS,GS_2015_A,57.27,-4.92,28,57.27,-4.92,1.73793257235729,19.4203368785975,21.1582694509548
GL1_26_A_GS,GS_2015_A,56.91,-5.13,20,56.91,-5.13,-3.05665444106802,14.6257498651721,11.569095424104
GL2_2_A_GS,GS_2015_A,56.91,-5.13,28,56.91,-5.13,0.943345558931934,18.6257498651721,19.569095424104
GL4_10_A_GS,GS_2015_A,56.91,-5.13,28,56.91,-5.13,0.943345558931934,18.6257498651721,19.569095424104
GL5_6_A_GS,GS_2015_A,56.91,-5.13,28,56.91,-5.13,0.943345558931934,18.6257498651721,19.569095424104
GL6_2_A_GS,GS_2015_A,56.91,-5.13,20,56.91,-5.13,-3.05665444106802,14.6257498651721,11.569095424104
GL7_2_A_GS,GS_2015_A,56.91,-5.13,35,56.91,-5.13,4.4433455589319,22.1257498651722,26.5690954241041
GL8_29_A_GS,GS_2015_A,56.91,-5.13,25,56.91,-5.13,-0.556654441068051,17.1257498651721,16.569095424104
GT1_22_A_GS,GS_2015_A,57.05,-2.86,28,57.05,-2.86,3.61428299744634,21.2966873036866,24.9109703011329
