Genotype,Envir,Latitude,Longitude,H,Lat,Lon,H_spats_residuals,H_spats_geno_pred_values,H_spats_adj_pheno
GT5_26_C_GS,GS_2020_C,57.05,-2.86,1760,57.05,-2.86,-159.84661617298,1552.86932076733,1393.02270459435
GT6_5_C_GS,GS_2020_C,57.05,-2.86,2750,57.05,-2.86,335.153383827012,2047.86932076734,2383.02270459435
GT7_2_C_GS,GS_2020_C,57.05,-2.86,2080,57.05,-2.86,0.153383827015205,1712.86932076734,1713.02270459435
GT9_29_C_GS,GS_2020_C,57.05,-2.86,2550,57.05,-2.86,235.153383827013,1947.86932076734,2183.02270459435
RD1_10_C_GS,GS_2020_C,57.89,-4.98,2640,57.89,-4.98,161.75056238174,1874.46649932207,2036.21706170381
RD10_6_C_GS,GS_2020_C,57.89,-4.98,1930,57.89,-4.98,-193.249437618257,1519.46649932206,1326.21706170381
RD2_2_C_GS,GS_2020_C,57.89,-4.98,2890,57.89,-4.98,286.750562381739,1999.46649932207,2286.21706170381
RD3_29_C_GS,GS_2020_C,57.89,-4.98,1860,57.89,-4.98,-228.249437618256,1484.46649932206,1256.21706170381
RD5_10_C_GS,GS_2020_C,57.89,-4.98,2350,57.89,-4.98,16.7505623817415,1729.46649932207,1746.21706170381
RD7_5_C_GS,GS_2020_C,57.89,-4.98,2240,57.89,-4.98,-38.2494376182581,1674.46649932206,1636.21706170381
RD8_15_C_GS,GS_2020_C,57.89,-4.98,2050,57.89,-4.98,-133.249437618257,1579.46649932206,1446.21706170381
BE10_19_D_GS,GS_2020_D,57.63,-5.35,2150,57.63,-5.35,-260.088794154621,1562.83737585878,1302.74858170416
BE2_15_D_GS,GS_2020_D,57.63,-5.35,2520,57.63,-5.35,-75.0887941546216,1747.83737585878,1672.74858170416
BE3_29_D_GS,GS_2020_D,57.63,-5.35,2360,57.63,-5.35,-155.088794154621,1667.83737585878,1512.74858170416
BE4_6_D_GS,GS_2020_D,57.63,-5.35,2720,57.63,-5.35,24.9112058453784,1847.83737585878,1872.74858170416
BE7_26_D_GS,GS_2020_D,57.63,-5.35,2990,57.63,-5.35,159.911205845377,1982.83737585878,2142.74858170416
BE8_22_D_GS,GS_2020_D,57.63,-5.35,3180,57.63,-5.35,254.911205845378,2077.83737585878,2332.74858170416
BE9_29_D_GS,GS_2020_D,57.63,-5.35,2770,57.63,-5.35,49.9112058453784,1872.83737585878,1922.74858170416
GA1_26_D_GS,GS_2020_D,57.27,-4.92,2120,57.27,-4.92,-35.7120238330003,1787.21414618041,1751.50212234741
GA10_22_D_GS,GS_2020_D,57.27,-4.92,2260,57.27,-4.92,34.2879761669992,1857.21414618041,1891.50212234741
GA3_29_D_GS,GS_2020_D,57.27,-4.92,2120,57.27,-4.92,-35.7120238330003,1787.21414618041,1751.50212234741
GA5_6_D_GS,GS_2020_D,57.27,-4.92,1390,57.27,-4.92,-400.712023832996,1422.2141461804,1021.50212234741
GA6_5_D_GS,GS_2020_D,57.27,-4.92,1950,57.27,-4.92,-120.712023833,1702.21414618041,1581.5021223474
GA7_26_D_GS,GS_2020_D,57.27,-4.92,3080,57.27,-4.92,444.287976166998,2267.21414618041,2711.50212234741
GA8_29_D_GS,GS_2020_D,57.27,-4.92,2180,57.27,-4.92,-5.71202383300079,1817.21414618041,1811.5021223474
GL3_26_D_GS,GS_2020_D,56.91,-5.13,2430,56.91,-5.13,199.813375458513,2022.73954547192,2222.55292093043
GL4_3_D_GS,GS_2020_D,56.91,-5.13,2200,56.91,-5.13,84.8133754585138,1907.73954547192,1992.55292093043
GL6_15_D_GS,GS_2020_D,56.91,-5.13,2370,56.91,-5.13,169.813375458513,1992.73954547192,2162.55292093043
GL7_15_D_GS,GS_2020_D,56.91,-5.13,1780,56.91,-5.13,-125.186624541485,1697.73954547192,1572.55292093043
GL8_15_D_GS,GS_2020_D,56.91,-5.13,1510,56.91,-5.13,-260.186624541485,1562.73954547192,1302.55292093043
GT2_26_D_GS,GS_2020_D,57.05,-2.86,2270,57.05,-2.86,81.0580353370633,1903.98420535047,1985.04224068753
GT6_29_D_GS,GS_2020_D,57.05,-2.86,1660,57.05,-2.86,-223.941964662935,1598.98420535046,1375.04224068753
GT8_22_D_GS,GS_2020_D,57.05,-2.86,2410,57.05,-2.86,151.058035337063,1973.98420535047,2125.04224068753
RD10_10_D_GS,GS_2020_D,57.89,-4.98,2600,57.89,-4.98,64.7274571014768,1887.65362711488,1952.38108421635
RD2_9_D_GS,GS_2020_D,57.89,-4.98,2210,57.89,-4.98,-130.272542898522,1692.65362711488,1562.38108421635
RD3_2_D_GS,GS_2020_D,57.89,-4.98,2050,57.89,-4.98,-210.272542898522,1612.65362711488,1402.38108421635
RD5_6_D_GS,GS_2020_D,57.89,-4.98,2690,57.89,-4.98,109.727457101477,1932.65362711488,2042.38108421635
RD8_22_D_GS,GS_2020_D,57.89,-4.98,2860,57.89,-4.98,194.727457101477,2017.65362711488,2212.38108421636
RD9_6_D_GS,GS_2020_D,57.89,-4.98,2500,57.89,-4.98,14.7274571014768,1837.65362711488,1852.38108421635
BE10_22_B_GS,GS_2020_B,57.63,-5.35,3210,57.63,-5.35,236.519361142655,1910.12307272458,2146.64243386724
BE3_22_B_GS,GS_2020_B,57.63,-5.35,2350,57.63,-5.35,-193.48063885734,1480.12307272458,1286.64243386724
BE5_5_B_GS,GS_2020_B,57.63,-5.35,2770,57.63,-5.35,16.5193611426575,1690.12307272458,1706.64243386724
BE8_5_B_GS,GS_2020_B,57.63,-5.35,2620,57.63,-5.35,-58.4806388573416,1615.12307272458,1556.64243386724
GA3_22_B_GS,GS_2020_B,57.27,-4.92,2490,57.27,-4.92,88.5974258314418,1762.20113741337,1850.79856324481
GA5_9_B_GS,GS_2020_B,57.27,-4.92,2660,57.27,-4.92,173.597425831441,1847.20113741337,2020.79856324481
GA6_3_B_GS,GS_2020_B,57.27,-4.92,2000,57.27,-4.92,-156.402574168555,1517.20113741336,1360.79856324481
GA7_15_B_GS,GS_2020_B,57.27,-4.92,2720,57.27,-4.92,203.597425831441,1877.20113741337,2080.79856324481
GA9_29_B_GS,GS_2020_B,57.27,-4.92,2110,57.27,-4.92,-101.402574168555,1572.20113741337,1470.79856324481
GL1_22_B_GS,GS_2020_B,56.91,-5.13,1880,56.91,-5.13,-114.908103175687,1558.69560840623,1443.78750523054
GL2_15_B_GS,GS_2020_B,56.91,-5.13,2170,56.91,-5.13,30.091896824315,1703.69560840623,1733.78750523055
GL3_10_B_GS,GS_2020_B,56.91,-5.13,2040,56.91,-5.13,-34.9081031756846,1638.69560840623,1603.78750523055
GT1_6_B_GS,GS_2020_B,57.05,-2.86,2290,57.05,-2.86,42.6038195939204,1716.20753117584,1758.81135076976
GT2_2_B_GS,GS_2020_B,57.05,-2.86,1740,57.05,-2.86,-232.396180406079,1441.20753117584,1208.81135076976
GT3_2_B_GS,GS_2020_B,57.05,-2.86,2010,57.05,-2.86,-97.3961804060778,1576.20753117584,1478.81135076976
GT5_2_B_GS,GS_2020_B,57.05,-2.86,2460,57.05,-2.86,127.60381959392,1801.20753117584,1928.81135076976
GT6_10_B_GS,GS_2020_B,57.05,-2.86,2580,57.05,-2.86,187.603819593919,1861.20753117585,2048.81135076976
GT7_22_B_GS,GS_2020_B,57.05,-2.86,1450,57.05,-2.86,-377.396180406077,1296.20753117584,918.811350769761
GT8_5_B_GS,GS_2020_B,57.05,-2.86,2880,57.05,-2.86,337.603819593917,2011.20753117585,2348.81135076976
GT9_15_B_GS,GS_2020_B,57.05,-2.86,2200,57.05,-2.86,-2.39618040607911,1671.20753117584,1668.81135076976
RD10_22_B_GS,GS_2020_B,57.89,-4.98,2340,57.89,-4.98,50.9658358096467,1724.56954739157,1775.53538320121
RD3_26_B_GS,GS_2020_B,57.89,-4.98,2360,57.89,-4.98,60.9658358096467,1734.56954739157,1795.53538320121
RD7_15_B_GS,GS_2020_B,57.89,-4.98,2160,57.89,-4.98,-39.0341641903524,1634.56954739157,1595.53538320121
RD8_29_B_GS,GS_2020_B,57.89,-4.98,2300,57.89,-4.98,30.9658358096472,1704.56954739157,1735.53538320121
RD9_5_B_GS,GS_2020_B,57.89,-4.98,1880,57.89,-4.98,-179.034164190351,1494.56954739156,1315.53538320121
BE2_1_C_YA,YA_2020_C,57.63,-5.35,2920,57.63,-5.35,-260.615550023287,2577.29719854723,2316.68164852395
BE3_20_C_YA,YA_2020_C,57.63,-5.35,4070,57.63,-5.35,314.384449976716,3152.29719854723,3466.68164852395
BE4_23_C_YA,YA_2020_C,57.63,-5.35,2420,57.63,-5.35,-510.615550023288,2327.29719854723,1816.68164852395
BE5_19_C_YA,YA_2020_C,57.63,-5.35,3980,57.63,-5.35,269.384449976716,3107.29719854723,3376.68164852395
BE7_6_C_YA,YA_2020_C,57.63,-5.35,3920,57.63,-5.35,239.384449976715,3077.29719854723,3316.68164852395
BE8_19_C_YA,YA_2020_C,57.63,-5.35,3830,57.63,-5.35,194.384449976715,3032.29719854723,3226.68164852395
BE9_21_C_YA,YA_2020_C,57.63,-5.35,2950,57.63,-5.35,-245.615550023287,2592.29719854723,2346.68164852395
GA10_27_C_YA,YA_2020_C,57.27,-4.92,3330,57.27,-4.92,8.90296452498978,2846.81571309551,2855.7186776205
GA3_27_C_YA,YA_2020_C,57.27,-4.92,3570,57.27,-4.92,128.902964524991,2966.81571309551,3095.7186776205
GA5_23_C_YA,YA_2020_C,57.27,-4.92,3660,57.27,-4.92,173.902964524991,3011.81571309551,3185.7186776205
GA6_27_C_YA,YA_2020_C,57.27,-4.92,3330,57.27,-4.92,8.90296452498978,2846.81571309551,2855.7186776205
GA7_23_C_YA,YA_2020_C,57.27,-4.92,3150,57.27,-4.92,-81.0970354750102,2756.81571309551,2675.7186776205
GA9_12_C_YA,YA_2020_C,57.27,-4.92,3100,57.27,-4.92,-106.09703547501,2731.81571309551,2625.7186776205
GL2_1_C_YA,YA_2020_C,56.91,-5.13,4420,56.91,-5.13,463.640056805548,3301.55280537606,3765.19286218161
GL3_12_C_YA,YA_2020_C,56.91,-5.13,3100,56.91,-5.13,-196.359943194454,2641.55280537606,2445.19286218161
GL4_5_C_YA,YA_2020_C,56.91,-5.13,3020,56.91,-5.13,-236.359943194455,2601.55280537606,2365.19286218161
GL7_10_C_YA,YA_2020_C,56.91,-5.13,3280,56.91,-5.13,-106.359943194454,2731.55280537606,2625.19286218161
GL8_19_C_YA,YA_2020_C,56.91,-5.13,3490,56.91,-5.13,-1.35994319445399,2836.55280537606,2835.19286218161
GT2_18_C_YA,YA_2020_C,57.05,-2.86,3570,57.05,-2.86,127.727676982888,2965.6404255534,3093.36810253629
GT6_30_C_YA,YA_2020_C,57.05,-2.86,3460,57.05,-2.86,72.7276769828882,2910.6404255534,2983.36810253629
GT7_12_C_YA,YA_2020_C,57.05,-2.86,3050,57.05,-2.86,-132.272323017113,2705.6404255534,2573.36810253629
GT8_19_C_YA,YA_2020_C,57.05,-2.86,3160,57.05,-2.86,-77.2723230171128,2760.6404255534,2683.36810253629
RD1_23_C_YA,YA_2020_C,57.89,-4.98,3120,57.89,-4.98,46.9633451756936,2884.87609374621,2931.8394389219
RD2_22_C_YA,YA_2020_C,57.89,-4.98,2450,57.89,-4.98,-288.036654824308,2549.87609374621,2261.8394389219
RD3_4_C_YA,YA_2020_C,57.89,-4.98,2290,57.89,-4.98,-368.036654824308,2469.87609374621,2101.8394389219
RD5_30_C_YA,YA_2020_C,57.89,-4.98,3500,57.89,-4.98,236.963345175694,3074.87609374621,3311.8394389219
RD7_12_C_YA,YA_2020_C,57.89,-4.98,3000,57.89,-4.98,-13.0366548243073,2824.87609374621,2811.8394389219
RD9_18_C_YA,YA_2020_C,57.89,-4.98,3700,57.89,-4.98,336.963345175695,3174.87609374621,3511.8394389219
BE2_11_B_YA,YA_2020_B,57.63,-5.35,2780,57.63,-5.35,-351.642467006084,2053.65852690415,1702.01605989806
BE4_20_B_YA,YA_2020_B,57.63,-5.35,3140,57.63,-5.35,-171.642467006087,2233.65852690415,2062.01605989806
BE5_27_B_YA,YA_2020_B,57.63,-5.35,4000,57.63,-5.35,258.357532993909,2663.65852690416,2922.01605989806
BE7_12_B_YA,YA_2020_B,57.63,-5.35,3740,57.63,-5.35,128.35753299391,2533.65852690415,2662.01605989806
BE8_4_B_YA,YA_2020_B,57.63,-5.35,3760,57.63,-5.35,138.35753299391,2543.65852690415,2682.01605989806
GA10_20_B_YA,YA_2020_B,57.27,-4.92,2890,57.27,-4.92,-156.982750274147,2248.31824363609,2091.33549336194
GA3_18_B_YA,YA_2020_B,57.27,-4.92,3650,57.27,-4.92,223.017249725848,2628.3182436361,2851.33549336194
GA5_30_B_YA,YA_2020_B,57.27,-4.92,2250,57.27,-4.92,-476.982750274144,1928.31824363609,1451.33549336194
GA6_25_B_YA,YA_2020_B,57.27,-4.92,3960,57.27,-4.92,378.017249725847,2783.3182436361,3161.33549336194
GA7_10_B_YA,YA_2020_B,57.27,-4.92,3960,57.27,-4.92,378.017249725847,2783.3182436361,3161.33549336194
GL3_1_B_YA,YA_2020_B,56.91,-5.13,3490,56.91,-5.13,10.2713754336833,2415.57236934393,2425.84374477761
GL4_27_B_YA,YA_2020_B,56.91,-5.13,3070,56.91,-5.13,-199.728624566314,2205.57236934393,2005.84374477761
GL6_23_B_YA,YA_2020_B,56.91,-5.13,3490,56.91,-5.13,10.2713754336833,2415.57236934393,2425.84374477761
GL7_14_B_YA,YA_2020_B,56.91,-5.13,3550,56.91,-5.13,40.2713754336833,2445.57236934393,2485.84374477761
GL8_4_B_YA,YA_2020_B,56.91,-5.13,3350,56.91,-5.13,-59.7286245663158,2345.57236934393,2285.84374477761
GT2_27_B_YA,YA_2020_B,57.05,-2.86,2970,57.05,-2.86,62.1634894177,2467.46448332795,2529.62797274565
GT5_18_B_YA,YA_2020_B,57.05,-2.86,2450,57.05,-2.86,-197.836510582298,2207.46448332795,2009.62797274565
GT9_18_B_YA,YA_2020_B,57.05,-2.86,3070,57.05,-2.86,112.163489417699,2517.46448332795,2629.62797274565
RD10_11_B_YA,YA_2020_B,57.89,-4.98,3050,57.89,-4.98,99.0557481957731,2504.35674210602,2603.41249030179
RD2_11_B_YA,YA_2020_B,57.89,-4.98,1770,57.89,-4.98,-540.94425180422,1864.35674210601,1323.41249030179
RD7_7_B_YA,YA_2020_B,57.89,-4.98,3570,57.89,-4.98,359.05574819577,2764.35674210602,3123.41249030179
RD8_11_B_YA,YA_2020_B,57.89,-4.98,2900,57.89,-4.98,24.0557481957735,2429.35674210602,2453.41249030179
RD9_4_B_YA,YA_2020_B,57.89,-4.98,2720,57.89,-4.98,-65.9442518042251,2339.35674210601,2273.41249030179
BE5_1_A_YA,YA_2020_A,57.63,-5.35,4120,57.63,-5.35,206.010888095362,2814.81947135623,3020.83035945159
BE9_30_A_YA,YA_2020_A,57.63,-5.35,3300,57.63,-5.35,-203.98911190462,2404.81947135621,2200.83035945159
GA1_23_A_YA,YA_2020_A,57.27,-4.92,3740,57.27,-4.92,175.04641276849,2783.85499602935,2958.90140879784
GA3_15_A_YA,YA_2020_A,57.27,-4.92,3260,57.27,-4.92,-64.9535872315005,2543.85499602934,2478.90140879784
GA5_19_A_YA,YA_2020_A,57.27,-4.92,3450,57.27,-4.92,30.0464127684959,2638.85499602935,2668.90140879784
GA7_20_A_YA,YA_2020_A,57.27,-4.92,3900,57.27,-4.92,255.046412768486,2863.85499602936,3118.90140879784
GA8_20_A_YA,YA_2020_A,57.27,-4.92,2900,57.27,-4.92,-244.953587231492,2363.85499602934,2118.90140879784
GA9_11_A_YA,YA_2020_A,57.27,-4.92,3870,57.27,-4.92,240.046412768487,2848.85499602936,3088.90140879784
GL1_11_A_YA,YA_2020_A,56.91,-5.13,3210,56.91,-5.13,-200.776212070587,2408.03237119025,2207.25615911967
GL2_12_A_YA,YA_2020_A,56.91,-5.13,3360,56.91,-5.13,-125.776212070591,2483.03237119026,2357.25615911966
GL3_18_A_YA,YA_2020_A,56.91,-5.13,4290,56.91,-5.13,339.223787929389,2948.03237119028,3287.25615911966
GL4_30_A_YA,YA_2020_A,56.91,-5.13,3410,56.91,-5.13,-100.776212070592,2508.03237119026,2407.25615911967
GL6_27_A_YA,YA_2020_A,56.91,-5.13,3410,56.91,-5.13,-100.776212070592,2508.03237119026,2407.25615911967
GL7_12_A_YA,YA_2020_A,56.91,-5.13,3540,56.91,-5.13,-35.7762120705947,2573.03237119026,2537.25615911967
GT1_11_A_YA,YA_2020_A,57.05,-2.86,2630,57.05,-2.86,-208.598053637339,2400.2105296235,2191.61247598616
GT5_20_A_YA,YA_2020_A,57.05,-2.86,2970,57.05,-2.86,-38.5980536373463,2570.2105296235,2531.61247598616
GT6_27_A_YA,YA_2020_A,57.05,-2.86,3220,57.05,-2.86,86.4019463626482,2695.21052962351,2781.61247598616
GT7_11_A_YA,YA_2020_A,57.05,-2.86,3600,57.05,-2.86,276.40194636264,2885.21052962352,3161.61247598616
GT8_1_A_YA,YA_2020_A,57.05,-2.86,2510,57.05,-2.86,-268.598053637336,2340.21052962349,2071.61247598616
GT9_4_A_YA,YA_2020_A,57.05,-2.86,3300,57.05,-2.86,126.401946362647,2735.21052962351,2861.61247598616
RD1_2_A_YA,YA_2020_A,57.89,-4.98,3450,57.89,-4.98,173.789068289667,2782.59765155054,2956.3867198402
RD10_30_A_YA,YA_2020_A,57.89,-4.98,3320,57.89,-4.98,108.78906828967,2717.59765155053,2826.3867198402
RD2_20_A_YA,YA_2020_A,57.89,-4.98,1900,57.89,-4.98,-601.210931710299,2007.5976515505,1406.3867198402
RD3_23_A_YA,YA_2020_A,57.89,-4.98,3250,57.89,-4.98,73.7890682896718,2682.59765155053,2756.3867198402
RD5_18_A_YA,YA_2020_A,57.89,-4.98,3310,57.89,-4.98,103.78906828967,2712.59765155053,2816.3867198402
BE2_30_D_YA,YA_2020_D,57.63,-5.35,2360,57.63,-5.35,-647.939654665267,2893.97530348095,2246.03564881568
BE3_27_D_YA,YA_2020_D,57.63,-5.35,4390,57.63,-5.35,367.060345334744,3908.97530348094,4276.03564881568
BE4_27_D_YA,YA_2020_D,57.63,-5.35,3670,57.63,-5.35,7.06034533474076,3548.97530348094,3556.03564881568
BE7_20_D_YA,YA_2020_D,57.63,-5.35,3990,57.63,-5.35,167.060345334743,3708.97530348094,3876.03564881568
BE9_12_D_YA,YA_2020_D,57.63,-5.35,3870,57.63,-5.35,107.060345334742,3648.97530348094,3756.03564881568
GA1_12_D_YA,YA_2020_D,57.27,-4.92,4270,57.27,-4.92,387.061135298271,3928.97609344447,4316.03722874274
GA10_1_D_YA,YA_2020_D,57.27,-4.92,3070,57.27,-4.92,-212.938864701735,3328.97609344448,3116.03722874274
GA8_23_D_YA,YA_2020_D,57.27,-4.92,3390,57.27,-4.92,-52.9388647017331,3488.97609344447,3436.03722874274
GA9_1_D_YA,YA_2020_D,57.27,-4.92,3370,57.27,-4.92,-62.9388647017331,3478.97609344447,3416.03722874274
GL1_20_D_YA,YA_2020_D,56.91,-5.13,3880,56.91,-5.13,266.6181261956,3808.5330843418,4075.1512105374
GL2_27_D_YA,YA_2020_D,56.91,-5.13,3160,56.91,-5.13,-93.3818738044038,3448.5330843418,3355.1512105374
GL6_18_D_YA,YA_2020_D,56.91,-5.13,2830,56.91,-5.13,-258.381873804406,3283.53308434181,3025.1512105374
GL8_30_D_YA,YA_2020_D,56.91,-5.13,3450,56.91,-5.13,51.6181261955981,3593.5330843418,3645.1512105374
GT1_23_D_YA,YA_2020_D,57.05,-2.86,3150,57.05,-2.86,-64.8279998338126,3477.0869583124,3412.25895847858
GT2_23_D_YA,YA_2020_D,57.05,-2.86,2900,57.05,-2.86,-189.827999833813,3352.0869583124,3162.25895847858
GT5_1_D_YA,YA_2020_D,57.05,-2.86,3450,57.05,-2.86,85.1720001661893,3627.08695831239,3712.25895847858
GT6_4_D_YA,YA_2020_D,57.05,-2.86,3300,57.05,-2.86,10.1720001661884,3552.08695831239,3562.25895847858
GT8_11_D_YA,YA_2020_D,57.05,-2.86,3330,57.05,-2.86,25.1720001661888,3567.08695831239,3592.25895847858
GT9_30_D_YA,YA_2020_D,57.05,-2.86,3540,57.05,-2.86,130.17200016619,3672.08695831239,3802.25895847858
RD1_12_D_YA,YA_2020_D,57.89,-4.98,3740,57.89,-4.98,-18.2101547294728,3523.70480341674,3505.49464868726
RD3_19_D_YA,YA_2020_D,57.89,-4.98,3740,57.89,-4.98,-18.2101547294728,3523.70480341674,3505.49464868726
RD5_17_D_YA,YA_2020_D,57.89,-4.98,3920,57.89,-4.98,71.7898452705281,3613.70480341674,3685.49464868726
RD7_14_D_YA,YA_2020_D,57.89,-4.98,3890,57.89,-4.98,56.7898452705281,3598.70480341674,3655.49464868726
RD9_30_D_YA,YA_2020_D,57.89,-4.98,3550,57.89,-4.98,-113.210154729474,3428.70480341674,3315.49464868726
