Genotype,Envir,Latitude,Longitude,T6,Lat,Lon,T6_spats_residuals,T6_spats_geno_pred_values,T6_spats_adj_pheno
GL1_29_C_GS,GS_2019_C,56.91,-5.13,14,56.91,-5.13,-0.359290706266959,12.2136923897752,11.8544016835083
GL2_3_C_GS,GS_2019_C,56.91,-5.13,21,56.91,-5.13,3.14070929373304,15.7136923897753,18.8544016835083
GL3_22_C_GS,GS_2019_C,56.91,-5.13,0,56.91,-5.13,-7.35929070626689,5.21369238977519,-2.14559831649171
GL4_6_C_GS,GS_2019_C,56.91,-5.13,7,56.91,-5.13,-3.85929070626693,8.71369238977521,4.85440168350828
GL5_5_C_GS,GS_2019_C,56.91,-5.13,14,56.91,-5.13,-0.359290706266959,12.2136923897752,11.8544016835083
GL6_10_C_GS,GS_2019_C,56.91,-5.13,21,56.91,-5.13,3.14070929373304,15.7136923897753,18.8544016835083
GL8_22_C_GS,GS_2019_C,56.91,-5.13,21,56.91,-5.13,3.14070929373304,15.7136923897753,18.8544016835083
GT2_9_C_GS,GS_2019_C,57.05,-2.86,14,57.05,-2.86,1.70039068639342,14.2733737824357,15.9737644688291
GT3_10_C_GS,GS_2019_C,57.05,-2.86,14,57.05,-2.86,1.70039068639342,14.2733737824357,15.9737644688291
GT5_26_C_GS,GS_2019_C,57.05,-2.86,0,57.05,-2.86,-5.29960931360652,7.2733737824356,1.97376446882908
GT6_5_C_GS,GS_2019_C,57.05,-2.86,14,57.05,-2.86,1.70039068639342,14.2733737824357,15.9737644688291
GT7_2_C_GS,GS_2019_C,57.05,-2.86,14,57.05,-2.86,1.70039068639342,14.2733737824357,15.9737644688291
GT9_29_C_GS,GS_2019_C,57.05,-2.86,7,57.05,-2.86,-1.79960931360655,10.7733737824356,8.97376446882908
RD1_10_C_GS,GS_2019_C,57.89,-4.98,21,57.89,-4.98,2.2744135885432,14.8473966845854,17.1218102731286
RD10_6_C_GS,GS_2019_C,57.89,-4.98,21,57.89,-4.98,2.2744135885432,14.8473966845854,17.1218102731286
RD2_2_C_GS,GS_2019_C,57.89,-4.98,14,57.89,-4.98,-1.22558641145677,11.3473966845854,10.1218102731286
RD3_29_C_GS,GS_2019_C,57.89,-4.98,7,57.89,-4.98,-4.72558641145674,7.84739668458539,3.12181027312865
RD5_10_C_GS,GS_2019_C,57.89,-4.98,21,57.89,-4.98,2.2744135885432,14.8473966845854,17.1218102731286
RD7_5_C_GS,GS_2019_C,57.89,-4.98,7,57.89,-4.98,-4.72558641145674,7.84739668458539,3.12181027312865
RD8_15_C_GS,GS_2019_C,57.89,-4.98,21,57.89,-4.98,2.2744135885432,14.8473966845854,17.1218102731286
BE10_19_D_GS,GS_2015_D,57.63,-5.35,15,57.63,-5.35,-0.499992519861898,13.1420118866857,12.6420193668238
BE2_15_D_GS,GS_2015_D,57.63,-5.35,15,57.63,-5.35,-0.499992519861898,13.1420118866857,12.6420193668238
BE3_29_D_GS,GS_2015_D,57.63,-5.35,22,57.63,-5.35,3.00000748013811,16.6420118866857,19.6420193668238
BE4_6_D_GS,GS_2015_D,57.63,-5.35,15,57.63,-5.35,-0.499992519861898,13.1420118866857,12.6420193668238
BE7_26_D_GS,GS_2015_D,57.63,-5.35,15,57.63,-5.35,-0.499992519861898,13.1420118866857,12.6420193668238
BE8_22_D_GS,GS_2015_D,57.63,-5.35,15,57.63,-5.35,-0.499992519861898,13.1420118866857,12.6420193668238
BE9_29_D_GS,GS_2015_D,57.63,-5.35,15,57.63,-5.35,-0.499992519861898,13.1420118866857,12.6420193668238
GA1_26_D_GS,GS_2015_D,57.27,-4.92,15,57.27,-4.92,0.00168460436556828,13.6436890109132,13.6453736152788
GA3_29_D_GS,GS_2015_D,57.27,-4.92,15,57.27,-4.92,0.00168460436556828,13.6436890109132,13.6453736152788
GA5_6_D_GS,GS_2015_D,57.27,-4.92,15,57.27,-4.92,0.00168460436556828,13.6436890109132,13.6453736152788
GA6_5_D_GS,GS_2015_D,57.27,-4.92,15,57.27,-4.92,0.00168460436556828,13.6436890109132,13.6453736152788
GA7_26_D_GS,GS_2015_D,57.27,-4.92,15,57.27,-4.92,0.00168460436556828,13.6436890109132,13.6453736152788
GA8_29_D_GS,GS_2015_D,57.27,-4.92,15,57.27,-4.92,0.00168460436556828,13.6436890109132,13.6453736152788
GL3_26_D_GS,GS_2015_D,56.91,-5.13,8,56.91,-5.13,-3.50116365716656,10.1408407493811,6.63967709221454
GL4_3_D_GS,GS_2015_D,56.91,-5.13,15,56.91,-5.13,-0.00116365716654876,13.6408407493811,13.6396770922145
GL6_15_D_GS,GS_2015_D,56.91,-5.13,15,56.91,-5.13,-0.00116365716654876,13.6408407493811,13.6396770922145
GL7_15_D_GS,GS_2015_D,56.91,-5.13,15,56.91,-5.13,-0.00116365716654876,13.6408407493811,13.6396770922145
GL8_15_D_GS,GS_2015_D,56.91,-5.13,22,56.91,-5.13,3.49883634283345,17.1408407493811,20.6396770922145
GT2_26_D_GS,GS_2015_D,57.05,-2.86,15,57.05,-2.86,-0.000229532529814946,13.6417748740178,13.641545341488
GT6_29_D_GS,GS_2015_D,57.05,-2.86,15,57.05,-2.86,-0.000229532529814946,13.6417748740178,13.641545341488
GT8_22_D_GS,GS_2015_D,57.05,-2.86,15,57.05,-2.86,-0.000229532529814946,13.6417748740178,13.641545341488
RD10_10_D_GS,GS_2015_D,57.89,-4.98,15,57.89,-4.98,-0.000608850622842994,13.6413955559248,13.640786705302
RD2_9_D_GS,GS_2015_D,57.89,-4.98,15,57.89,-4.98,-0.000608850622842994,13.6413955559248,13.640786705302
RD3_2_D_GS,GS_2015_D,57.89,-4.98,15,57.89,-4.98,-0.000608850622842994,13.6413955559248,13.640786705302
RD5_6_D_GS,GS_2015_D,57.89,-4.98,15,57.89,-4.98,-0.000608850622842994,13.6413955559248,13.640786705302
RD8_22_D_GS,GS_2015_D,57.89,-4.98,15,57.89,-4.98,-0.000608850622842994,13.6413955559248,13.640786705302
RD9_6_D_GS,GS_2015_D,57.89,-4.98,15,57.89,-4.98,-0.000608850622842994,13.6413955559248,13.640786705302
BE10_19_D_GS,GS_2016_D,57.63,-5.35,28,57.63,-5.35,0.285063602821342,23.5034105913445,23.7884741941659
BE2_15_D_GS,GS_2016_D,57.63,-5.35,21,57.63,-5.35,-3.21493639717866,20.0034105913445,16.7884741941659
BE3_29_D_GS,GS_2016_D,57.63,-5.35,33,57.63,-5.35,2.78506360282134,26.0034105913445,28.7884741941659
