Genotype,Envir,Latitude,Longitude,I,Lat,Lon,I_spats_residuals,I_spats_geno_pred_values,I_spats_adj_pheno
GT7_5_A_GS,GS_2018_A,57.05,-2.86,335,57.05,-2.86,51.8159703766888,102.89316817795,154.709138554639
GT8_29_A_GS,GS_2018_A,57.05,-2.86,330,57.05,-2.86,49.3159703766888,100.39316817795,149.709138554639
GT9_9_A_GS,GS_2018_A,57.05,-2.86,30,57.05,-2.86,-100.684029623312,-49.6068318220493,-150.290861445362
RD1_6_A_GS,GS_2018_A,57.89,-4.98,360,57.89,-4.98,55.2937762732221,106.370974074483,161.664750347706
RD5_5_A_GS,GS_2018_A,57.89,-4.98,185,57.89,-4.98,-32.2062237267787,18.870974074484,-13.3352496522947
RD7_29_A_GS,GS_2018_A,57.89,-4.98,220,57.89,-4.98,-14.7062237267786,36.3709740744839,21.6647503477053
BE10_6_A_GS,GS_2019_A,57.63,-5.35,405,57.63,-5.35,-7.51972968816818,182.65017156905,175.130441880882
BE2_26_A_GS,GS_2019_A,57.63,-5.35,335,57.63,-5.35,-42.5197296881681,147.65017156905,105.130441880882
BE5_2_A_GS,GS_2019_A,57.63,-5.35,500,57.63,-5.35,39.9802703118317,230.150171569051,270.130441880882
BE7_29_A_GS,GS_2019_A,57.63,-5.35,440,57.63,-5.35,9.98027031183182,200.15017156905,210.130441880882
GA1_6_A_GS,GS_2019_A,57.27,-4.92,420,57.27,-4.92,56.8164317326527,246.986332989872,303.802764722524
GA10_15_A_GS,GS_2019_A,57.27,-4.92,40,57.27,-4.92,-133.183568267347,56.986332989871,-76.1972352774757
GA6_15_A_GS,GS_2019_A,57.27,-4.92,360,57.27,-4.92,26.8164317326528,216.986332989872,243.802764722524
GA9_6_A_GS,GS_2019_A,57.27,-4.92,375,57.27,-4.92,34.3164317326528,224.486332989872,258.802764722524
GL1_26_A_GS,GS_2019_A,56.91,-5.13,420,56.91,-5.13,66.6099077564205,256.779809013639,323.38971677006
GL2_2_A_GS,GS_2019_A,56.91,-5.13,290,56.91,-5.13,1.60990775642057,191.779809013639,193.38971677006
GL4_10_A_GS,GS_2019_A,56.91,-5.13,400,56.91,-5.13,56.6099077564205,246.779809013639,303.38971677006
GL5_6_A_GS,GS_2019_A,56.91,-5.13,260,56.91,-5.13,-13.3900922435793,176.779809013639,163.38971677006
GL6_2_A_GS,GS_2019_A,56.91,-5.13,385,56.91,-5.13,49.1099077564205,239.279809013639,288.38971677006
GL7_2_A_GS,GS_2019_A,56.91,-5.13,110,56.91,-5.13,-88.3900922435791,101.779809013639,13.3897167700599
GL8_29_A_GS,GS_2019_A,56.91,-5.13,160,56.91,-5.13,-63.3900922435791,126.779809013639,63.3897167700599
GT1_22_A_GS,GS_2019_A,57.05,-2.86,220,57.05,-2.86,-10.9905354257158,179.179365831503,168.188830405787
GT5_6_A_GS,GS_2019_A,57.05,-2.86,225,57.05,-2.86,-8.49053542571576,181.679365831503,173.188830405787
GT7_5_A_GS,GS_2019_A,57.05,-2.86,125,57.05,-2.86,-58.4905354257157,131.679365831502,73.1888304057868
GT8_29_A_GS,GS_2019_A,57.05,-2.86,400,57.05,-2.86,79.0094645742838,269.179365831503,348.188830405787
RD1_6_A_GS,GS_2019_A,57.89,-4.98,390,57.89,-4.98,19.3353264099708,209.50522766719,228.840554077161
RD5_5_A_GS,GS_2019_A,57.89,-4.98,395,57.89,-4.98,21.8353264099708,212.00522766719,233.840554077161
RD7_29_A_GS,GS_2019_A,57.89,-4.98,280,57.89,-4.98,-35.6646735900291,154.50522766719,118.840554077161
BE2_3_C_GS,GS_2020_C,57.63,-5.35,530,57.63,-5.35,107.567597434415,419.337415054788,526.905012489204
BE3_10_C_GS,GS_2020_C,57.63,-5.35,150,57.63,-5.35,-82.4324025655839,229.337415054788,146.905012489204
BE5_9_C_GS,GS_2020_C,57.63,-5.35,260,57.63,-5.35,-27.4324025655843,284.337415054788,256.905012489204
BE7_5_C_GS,GS_2020_C,57.63,-5.35,310,57.63,-5.35,-2.43240256558437,309.337415054788,306.905012489204
BE8_15_C_GS,GS_2020_C,57.63,-5.35,330,57.63,-5.35,7.56759743441563,319.337415054788,326.905012489204
BE9_15_C_GS,GS_2020_C,57.63,-5.35,310,57.63,-5.35,-2.43240256558437,309.337415054788,306.905012489204
GA1_3_C_GS,GS_2020_C,57.27,-4.92,390,57.27,-4.92,47.6586018870119,359.428419507384,407.087021394395
GA5_2_C_GS,GS_2020_C,57.27,-4.92,480,57.27,-4.92,92.6586018870117,404.428419507384,497.087021394395
GA7_2_C_GS,GS_2020_C,57.27,-4.92,330,57.27,-4.92,17.6586018870119,329.428419507383,347.087021394395
GA8_15_C_GS,GS_2020_C,57.27,-4.92,350,57.27,-4.92,27.6586018870119,339.428419507383,367.087021394395
GA9_15_C_GS,GS_2020_C,57.27,-4.92,80,57.27,-4.92,-107.341398112988,204.428419507383,97.087021394395
GL1_29_C_GS,GS_2020_C,56.91,-5.13,420,56.91,-5.13,74.2759913740804,386.045808994453,460.321800368533
GL2_3_C_GS,GS_2020_C,56.91,-5.13,230,56.91,-5.13,-20.7240086259193,291.045808994453,270.321800368533
GL3_22_C_GS,GS_2020_C,56.91,-5.13,170,56.91,-5.13,-50.7240086259191,261.045808994453,210.321800368533
GL4_6_C_GS,GS_2020_C,56.91,-5.13,260,56.91,-5.13,-5.72400862591934,306.045808994453,300.321800368533
GL5_5_C_GS,GS_2020_C,56.91,-5.13,320,56.91,-5.13,24.2759913740806,336.045808994453,360.321800368533
GL6_10_C_GS,GS_2020_C,56.91,-5.13,100,56.91,-5.13,-85.7240086259191,226.045808994452,140.321800368533
GL8_22_C_GS,GS_2020_C,56.91,-5.13,310,56.91,-5.13,19.2759913740806,331.045808994453,350.321800368533
GT2_9_C_GS,GS_2020_C,57.05,-2.86,220,57.05,-2.86,13.277694707625,325.047512327997,338.325207035622
GT3_10_C_GS,GS_2020_C,57.05,-2.86,90,57.05,-2.86,-51.7223052923748,260.047512327997,208.325207035622
GT5_26_C_GS,GS_2020_C,57.05,-2.86,20,57.05,-2.86,-86.7223052923745,225.047512327997,138.325207035622
GT6_5_C_GS,GS_2020_C,57.05,-2.86,260,57.05,-2.86,33.277694707625,345.047512327997,378.325207035622
GT7_2_C_GS,GS_2020_C,57.05,-2.86,280,57.05,-2.86,43.2776947076249,355.047512327997,398.325207035622
GT9_29_C_GS,GS_2020_C,57.05,-2.86,280,57.05,-2.86,43.2776947076249,355.047512327997,398.325207035622
RD1_10_C_GS,GS_2020_C,57.89,-4.98,440,57.89,-4.98,44.5290425848812,356.298860205254,400.827902790135
RD10_6_C_GS,GS_2020_C,57.89,-4.98,250,57.89,-4.98,-50.4709574151186,261.298860205254,210.827902790135
RD2_2_C_GS,GS_2020_C,57.89,-4.98,560,57.89,-4.98,104.529042584881,416.298860205254,520.827902790135
RD3_29_C_GS,GS_2020_C,57.89,-4.98,330,57.89,-4.98,-10.4709574151187,301.298860205254,290.827902790135
RD5_10_C_GS,GS_2020_C,57.89,-4.98,240,57.89,-4.98,-55.4709574151186,256.298860205254,200.827902790135
RD7_5_C_GS,GS_2020_C,57.89,-4.98,270,57.89,-4.98,-40.4709574151186,271.298860205254,230.827902790135
RD8_15_C_GS,GS_2020_C,57.89,-4.98,310,57.89,-4.98,-20.4709574151187,291.298860205254,270.827902790135
BE2_3_C_GS,GS_2015_C,57.63,-5.35,205,57.63,-5.35,-8.78799950358982,77.0170745947425,68.2290750911527
BE3_10_C_GS,GS_2015_C,57.63,-5.35,195,57.63,-5.35,-13.7879995035898,72.0170745947425,58.2290750911528
BE5_9_C_GS,GS_2015_C,57.63,-5.35,245,57.63,-5.35,11.21200049641,97.0170745947427,108.229075091153
BE7_5_C_GS,GS_2015_C,57.63,-5.35,240,57.63,-5.35,8.71200049641004,94.5170745947427,103.229075091153
BE8_15_C_GS,GS_2015_C,57.63,-5.35,220,57.63,-5.35,-1.28799950358987,84.5170745947426,83.2290750911527
BE9_15_C_GS,GS_2015_C,57.63,-5.35,230,57.63,-5.35,3.71200049641007,89.5170745947427,93.2290750911527
GA1_3_C_GS,GS_2015_C,57.27,-4.92,110,57.27,-4.92,-25.8023917448517,60.0026823534807,34.200290608629
GA5_2_C_GS,GS_2015_C,57.27,-4.92,165,57.27,-4.92,1.69760825514811,87.5026823534809,89.200290608629
GA7_2_C_GS,GS_2015_C,57.27,-4.92,130,57.27,-4.92,-15.8023917448517,70.0026823534808,54.200290608629
GA8_15_C_GS,GS_2015_C,57.27,-4.92,270,57.27,-4.92,54.1976082551477,140.002682353481,194.200290608629
GA9_15_C_GS,GS_2015_C,57.27,-4.92,45,57.27,-4.92,-58.3023917448513,27.5026823534804,-30.7997093913709
GL1_29_C_GS,GS_2015_C,56.91,-5.13,215,56.91,-5.13,17.9049639071114,103.710038005444,121.615001912556
GL2_3_C_GS,GS_2015_C,56.91,-5.13,270,56.91,-5.13,45.4049639071113,131.210038005445,176.615001912556
GL3_22_C_GS,GS_2015_C,56.91,-5.13,30,56.91,-5.13,-74.5950360928877,11.2100380054436,-63.3849980874441
GL4_6_C_GS,GS_2015_C,56.91,-5.13,220,56.91,-5.13,20.4049639071114,106.210038005444,126.615001912556
GL5_5_C_GS,GS_2015_C,56.91,-5.13,225,56.91,-5.13,22.9049639071114,108.710038005444,131.615001912556
GL6_10_C_GS,GS_2015_C,56.91,-5.13,160,56.91,-5.13,-9.59503609288828,76.2100380054441,66.6150019125558
GL8_22_C_GS,GS_2015_C,56.91,-5.13,185,56.91,-5.13,2.90496390711161,88.7100380054442,91.6150019125558
GT2_9_C_GS,GS_2015_C,57.05,-2.86,115,57.05,-2.86,-12.83360293019,72.9714711681426,60.1378682379526
GT3_10_C_GS,GS_2015_C,57.05,-2.86,90,57.05,-2.86,-25.3336029301899,60.4714711681425,35.1378682379526
GT5_26_C_GS,GS_2015_C,57.05,-2.86,190,57.05,-2.86,24.6663970698095,110.471471168143,135.137868237952
GT6_5_C_GS,GS_2015_C,57.05,-2.86,185,57.05,-2.86,22.1663970698096,107.971471168143,130.137868237952
GT7_2_C_GS,GS_2015_C,57.05,-2.86,110,57.05,-2.86,-15.33360293019,70.4714711681426,55.1378682379526
GT9_29_C_GS,GS_2015_C,57.05,-2.86,160,57.05,-2.86,9.66639706980965,95.4714711681428,105.137868237952
RD1_10_C_GS,GS_2015_C,57.89,-4.98,240,57.89,-4.98,33.3438322824566,119.14890638079,152.492738663246
RD10_6_C_GS,GS_2015_C,57.89,-4.98,150,57.89,-4.98,-11.6561677175431,74.1489063807893,62.4927386632462
RD2_2_C_GS,GS_2015_C,57.89,-4.98,195,57.89,-4.98,10.8438322824568,96.6489063807894,107.492738663246
RD3_29_C_GS,GS_2015_C,57.89,-4.98,100,57.89,-4.98,-36.6561677175428,49.1489063807891,12.4927386632462
RD5_10_C_GS,GS_2015_C,57.89,-4.98,190,57.89,-4.98,8.34383228245676,94.1489063807894,102.492738663246
RD7_5_C_GS,GS_2015_C,57.89,-4.98,180,57.89,-4.98,3.34383228245682,89.1489063807894,92.4927386632462
RD8_15_C_GS,GS_2015_C,57.89,-4.98,190,57.89,-4.98,8.34383228245676,94.1489063807894,102.492738663246
BE2_3_C_GS,GS_2016_C,57.63,-5.35,275,57.63,-5.35,-2.11915887446798,130.093887236866,127.974728362398
BE3_10_C_GS,GS_2016_C,57.63,-5.35,265,57.63,-5.35,-7.11915887446787,125.093887236866,117.974728362398
BE5_9_C_GS,GS_2016_C,57.63,-5.35,285,57.63,-5.35,2.8808411255319,135.093887236866,137.974728362398
BE7_5_C_GS,GS_2016_C,57.63,-5.35,350,57.63,-5.35,35.3808411255314,167.593887236867,202.974728362398
BE8_15_C_GS,GS_2016_C,57.63,-5.35,285,57.63,-5.35,2.8808411255319,135.093887236866,137.974728362398
BE9_15_C_GS,GS_2016_C,57.63,-5.35,215,57.63,-5.35,-32.1191588744677,100.093887236865,67.9747283623977
GA1_3_C_GS,GS_2016_C,57.27,-4.92,170,57.27,-4.92,-19.2988043968504,112.914241714483,93.6154373176323
GA5_2_C_GS,GS_2016_C,57.27,-4.92,160,57.27,-4.92,-24.2988043968504,107.914241714483,83.6154373176323
GA7_2_C_GS,GS_2016_C,57.27,-4.92,195,57.27,-4.92,-6.79880439685064,125.414241714483,118.615437317632
GA8_15_C_GS,GS_2016_C,57.27,-4.92,245,57.27,-4.92,18.201195603149,150.414241714483,168.615437317632
GA9_15_C_GS,GS_2016_C,57.27,-4.92,190,57.27,-4.92,-9.29880439685058,122.914241714483,113.615437317632
GL1_29_C_GS,GS_2016_C,56.91,-5.13,200,56.91,-5.13,-10.5163801126273,121.696665998706,111.180285886079
GL2_3_C_GS,GS_2016_C,56.91,-5.13,230,56.91,-5.13,4.4836198873725,136.696665998707,141.180285886079
GL3_22_C_GS,GS_2016_C,56.91,-5.13,90,56.91,-5.13,-65.5163801126264,66.6966659987054,1.18028588607903
GL4_6_C_GS,GS_2016_C,56.91,-5.13,275,56.91,-5.13,26.983619887372,159.196665998707,186.180285886079
GL5_5_C_GS,GS_2016_C,56.91,-5.13,260,56.91,-5.13,19.4836198873723,151.696665998707,171.180285886079
GL6_10_C_GS,GS_2016_C,56.91,-5.13,240,56.91,-5.13,9.48361988737238,141.696665998707,151.180285886079
GL8_22_C_GS,GS_2016_C,56.91,-5.13,300,56.91,-5.13,39.483619887372,171.696665998707,211.180285886079
GT2_9_C_GS,GS_2016_C,57.05,-2.86,180,57.05,-2.86,-13.2788593160892,118.934186795244,105.655327479155
GT3_10_C_GS,GS_2016_C,57.05,-2.86,155,57.05,-2.86,-25.778859316089,106.434186795244,80.6553274791549
GT5_26_C_GS,GS_2016_C,57.05,-2.86,245,57.05,-2.86,19.2211406839103,151.434186795245,170.655327479155
GT6_5_C_GS,GS_2016_C,57.05,-2.86,255,57.05,-2.86,24.2211406839102,156.434186795245,180.655327479155
