Genotype,Envir,Latitude,Longitude,T4,Lat,Lon,T4_spats_residuals,T4_spats_geno_pred_values,T4_spats_adj_pheno
BE10_6_A_GS,GS_2015_A,57.63,-5.35,20,57.63,-5.35,2.39723009369642,8.11779614505026,10.5150262387467
BE2_26_A_GS,GS_2015_A,57.63,-5.35,14,57.63,-5.35,-0.602769906303589,5.11779614505027,4.51502623874668
BE4_10_A_GS,GS_2015_A,57.63,-5.35,14,57.63,-5.35,-0.602769906303589,5.11779614505027,4.51502623874668
BE5_2_A_GS,GS_2015_A,57.63,-5.35,14,57.63,-5.35,-0.602769906303589,5.11779614505027,4.51502623874668
BE7_29_A_GS,GS_2015_A,57.63,-5.35,14,57.63,-5.35,-0.602769906303589,5.11779614505027,4.51502623874668
GA1_6_A_GS,GS_2015_A,57.27,-4.92,14,57.27,-4.92,1.95663051290533,7.67719656425917,9.63382707716449
GA10_15_A_GS,GS_2015_A,57.27,-4.92,7,57.27,-4.92,-1.54336948709469,4.17719656425918,2.63382707716449
GA6_15_A_GS,GS_2015_A,57.27,-4.92,14,57.27,-4.92,1.95663051290533,7.67719656425917,9.63382707716449
GA9_6_A_GS,GS_2015_A,57.27,-4.92,0,57.27,-4.92,-5.04336948709471,0.677196564259192,-4.36617292283552
GL1_26_A_GS,GS_2015_A,56.91,-5.13,7,56.91,-5.13,-2.70872245268073,3.01184359867316,0.303121145992434
GL2_2_A_GS,GS_2015_A,56.91,-5.13,14,56.91,-5.13,0.791277547319284,6.51184359867315,7.30312114599243
GL4_10_A_GS,GS_2015_A,56.91,-5.13,14,56.91,-5.13,0.791277547319284,6.51184359867315,7.30312114599243
GL5_6_A_GS,GS_2015_A,56.91,-5.13,14,56.91,-5.13,0.791277547319284,6.51184359867315,7.30312114599243
GL6_2_A_GS,GS_2015_A,56.91,-5.13,7,56.91,-5.13,-2.70872245268073,3.01184359867316,0.303121145992434
GL7_2_A_GS,GS_2015_A,56.91,-5.13,20,56.91,-5.13,3.79127754731933,9.51184359867314,13.3031211459925
GL8_29_A_GS,GS_2015_A,56.91,-5.13,14,56.91,-5.13,0.791277547319284,6.51184359867315,7.30312114599243
GT1_22_A_GS,GS_2015_A,57.05,-2.86,14,57.05,-2.86,2.13642695989907,7.85699301125292,9.99341997115199
GT5_6_A_GS,GS_2015_A,57.05,-2.86,7,57.05,-2.86,-1.36357304010094,4.35699301125293,2.99341997115199
GT7_5_A_GS,GS_2015_A,57.05,-2.86,14,57.05,-2.86,2.13642695989907,7.85699301125292,9.99341997115199
GT8_29_A_GS,GS_2015_A,57.05,-2.86,7,57.05,-2.86,-1.36357304010094,4.35699301125293,2.99341997115199
GT9_9_A_GS,GS_2015_A,57.05,-2.86,7,57.05,-2.86,-1.36357304010094,4.35699301125293,2.99341997115199
RD1_6_A_GS,GS_2015_A,57.89,-4.98,20,57.89,-4.98,3.48874994972021,9.20931600107404,12.6980659507942
RD5_5_A_GS,GS_2015_A,57.89,-4.98,7,57.89,-4.98,-3.01125005027981,2.70931600107406,-0.301934049205748
RD7_29_A_GS,GS_2015_A,57.89,-4.98,14,57.89,-4.98,0.488749949720202,6.20931600107405,6.69806595079425
BE10_6_A_GS,GS_2016_A,57.63,-5.35,9,57.63,-5.35,0.000730674800726305,6.71205948494199,6.71279015974272
BE2_26_A_GS,GS_2016_A,57.63,-5.35,9,57.63,-5.35,0.000730674800726305,6.71205948494199,6.71279015974272
BE4_10_A_GS,GS_2016_A,57.63,-5.35,9,57.63,-5.35,0.000730674800726305,6.71205948494199,6.71279015974272
BE5_2_A_GS,GS_2016_A,57.63,-5.35,9,57.63,-5.35,0.000730674800726305,6.71205948494199,6.71279015974272
BE7_29_A_GS,GS_2016_A,57.63,-5.35,9,57.63,-5.35,0.000730674800726305,6.71205948494199,6.71279015974272
GA1_6_A_GS,GS_2016_A,57.27,-4.92,9,57.27,-4.92,-0.698690519195056,6.01263829094622,5.31394777175117
GA10_15_A_GS,GS_2016_A,57.27,-4.92,9,57.27,-4.92,-0.698690519195056,6.01263829094622,5.31394777175117
GA6_15_A_GS,GS_2016_A,57.27,-4.92,16,57.27,-4.92,2.80130948080492,9.51263829094625,12.3139477717512
GA9_6_A_GS,GS_2016_A,57.27,-4.92,9,57.27,-4.92,-0.698690519195056,6.01263829094622,5.31394777175117
GL1_26_A_GS,GS_2016_A,56.91,-5.13,9,56.91,-5.13,-0.0579940579925857,6.65333475214868,6.5953406941561
GL2_2_A_GS,GS_2016_A,56.91,-5.13,9,56.91,-5.13,-0.0579940579925857,6.65333475214868,6.5953406941561
GL4_10_A_GS,GS_2016_A,56.91,-5.13,9,56.91,-5.13,-0.0579940579925857,6.65333475214868,6.5953406941561
GL5_6_A_GS,GS_2016_A,56.91,-5.13,9,56.91,-5.13,-0.0579940579925857,6.65333475214868,6.5953406941561
GL6_2_A_GS,GS_2016_A,56.91,-5.13,9,56.91,-5.13,-0.0579940579925857,6.65333475214868,6.5953406941561
GL7_2_A_GS,GS_2016_A,56.91,-5.13,9,56.91,-5.13,-0.0579940579925857,6.65333475214868,6.5953406941561
GL8_29_A_GS,GS_2016_A,56.91,-5.13,9,56.91,-5.13,-0.0579940579925857,6.65333475214868,6.5953406941561
GT1_22_A_GS,GS_2016_A,57.05,-2.86,9,57.05,-2.86,0.390390916235623,7.10171972637691,7.49211064261253
GT5_6_A_GS,GS_2016_A,57.05,-2.86,9,57.05,-2.86,0.390390916235623,7.10171972637691,7.49211064261253
GT7_5_A_GS,GS_2016_A,57.05,-2.86,9,57.05,-2.86,0.390390916235623,7.10171972637691,7.49211064261253
GT8_29_A_GS,GS_2016_A,57.05,-2.86,9,57.05,-2.86,0.390390916235623,7.10171972637691,7.49211064261253
GT9_9_A_GS,GS_2016_A,57.05,-2.86,5,57.05,-2.86,-1.60960908376436,5.1017197263769,3.49211064261253
RD1_6_A_GS,GS_2016_A,57.89,-4.98,9,57.89,-4.98,2.08170417584643,8.79303298598774,10.8747371618342
RD5_5_A_GS,GS_2016_A,57.89,-4.98,0,57.89,-4.98,-2.41829582415354,4.29303298598771,1.87473716183417
RD7_29_A_GS,GS_2016_A,57.89,-4.98,5,57.89,-4.98,0.0817041758464461,6.79303298598773,6.87473716183417
BE10_6_A_GS,GS_2017_A,57.63,-5.35,19,57.63,-5.35,0.604011784690957,13.7244050993726,14.3284168840636
BE2_26_A_GS,GS_2017_A,57.63,-5.35,15,57.63,-5.35,-1.39598821530906,11.7244050993727,10.3284168840636
BE4_10_A_GS,GS_2017_A,57.63,-5.35,15,57.63,-5.35,-1.39598821530906,11.7244050993727,10.3284168840636
BE5_2_A_GS,GS_2017_A,57.63,-5.35,20,57.63,-5.35,1.10401178469096,14.2244050993726,15.3284168840636
BE7_29_A_GS,GS_2017_A,57.63,-5.35,20,57.63,-5.35,1.10401178469096,14.2244050993726,15.3284168840636
GA1_6_A_GS,GS_2017_A,57.27,-4.92,19,57.27,-4.92,1.21803074999331,14.338424064675,15.5564548146683
GA10_15_A_GS,GS_2017_A,57.27,-4.92,20,57.27,-4.92,1.71803074999331,14.838424064675,16.5564548146683
GA6_15_A_GS,GS_2017_A,57.27,-4.92,20,57.27,-4.92,1.71803074999331,14.838424064675,16.5564548146683
GA9_6_A_GS,GS_2017_A,57.27,-4.92,15,57.27,-4.92,-0.781969250006705,12.338424064675,11.5564548146683
GL1_26_A_GS,GS_2017_A,56.91,-5.13,15,56.91,-5.13,-1.17556039882548,11.9448329158563,10.7692725170308
GL2_2_A_GS,GS_2017_A,56.91,-5.13,15,56.91,-5.13,-1.17556039882548,11.9448329158563,10.7692725170308
GL4_10_A_GS,GS_2017_A,56.91,-5.13,15,56.91,-5.13,-1.17556039882548,11.9448329158563,10.7692725170308
GL5_6_A_GS,GS_2017_A,56.91,-5.13,20,56.91,-5.13,1.32443960117454,14.4448329158563,15.7692725170308
GL6_2_A_GS,GS_2017_A,56.91,-5.13,8,56.91,-5.13,-4.67556039882553,8.44483291585631,3.76927251703079
GL7_2_A_GS,GS_2017_A,56.91,-5.13,29,56.91,-5.13,5.8244396011746,18.9448329158562,24.7692725170308
GL8_29_A_GS,GS_2017_A,56.91,-5.13,15,56.91,-5.13,-1.17556039882548,11.9448329158563,10.7692725170308
GT1_22_A_GS,GS_2017_A,57.05,-2.86,20,57.05,-2.86,3.34724113234995,16.4676344470316,19.8148755793815
GT5_6_A_GS,GS_2017_A,57.05,-2.86,8,57.05,-2.86,-2.65275886765011,10.4676344470317,7.81487557938154
GT7_5_A_GS,GS_2017_A,57.05,-2.86,15,57.05,-2.86,0.847241132349927,13.9676344470316,14.8148755793815
GT8_29_A_GS,GS_2017_A,57.05,-2.86,8,57.05,-2.86,-2.65275886765011,10.4676344470317,7.81487557938154
GT9_9_A_GS,GS_2017_A,57.05,-2.86,15,57.05,-2.86,0.847241132349927,13.9676344470316,14.8148755793815
RD1_6_A_GS,GS_2017_A,57.89,-4.98,20,57.89,-4.98,2.36684506886968,15.4872383835514,17.854083452421
RD5_5_A_GS,GS_2017_A,57.89,-4.98,15,57.89,-4.98,-0.133154931130346,12.9872383835514,12.854083452421
RD7_29_A_GS,GS_2017_A,57.89,-4.98,8,57.89,-4.98,-3.63315493113038,9.48723838355142,5.85408345242104
BE10_6_A_GS,GS_2018_A,57.63,-5.35,23,57.63,-5.35,1.40531399060304,4.60599458805575,6.0113085786588
BE2_26_A_GS,GS_2018_A,57.63,-5.35,16,57.63,-5.35,-2.09468600939701,1.1059945880558,-0.988691421341204
